Clase IP Destino,Clase IP Origen,Tipo de IP Destino,Tipo de IP Origen,Fwd.IAT.Max,Fwd.IAT.Mean,Fwd.IAT.Min,Fwd.IAT.Total,Fwd.Packet.Length.Min,Fwd.Packet.Length.Mean,Fwd.Packet.Length.Max,Fwd.Packets.s,Total.Fwd.Packets,Total.Length.of.Fwd.Packets,Active.Max,Active.Mean,Active.Min,Active.Std,Label,Idle.Max,Idle.Mean,Idle.Min,Idle.Std
Clase A,Clase A,Privada,Privada,1579455192356,-6895299371130454000,283663226740,3305496315164,576813,418288116053170500,49985572,5120360971905352000,4390073,1293470847,58458251845,1480398043901974000,15090572718,5827733454154552000,BENIGN,1452955076779,1943383580301878000,1049457842430,6635830741561307000
Clase A,Clase A,Privada,Pública,77262023002,1095281090035760000,14238236,117843764071,31528,45103808905496310,5790318,209074698996580800,1204238,1443614534,3314869412,24424221496730720,2204101363,78534358431978610,BENIGN,18375159030,21480791625244100,15343161265,81519588187088860
Clase A,Clase A,Pública,Privada,7249512290635,-50097821927877590,422792644525,15041875518711,6927607,3292041678834011000,329732138,1743953159260249000,28363274,21989374913,284059975204,4177378493694477000,114968553357,1929917243076840000,BENIGN,4953747156056,4530560340548611000,3950766629962,8945808925406778000
Clase A,Clase B,Privada,Privada,1366419581905,-2698301336551170000,193287971403,2872311037985,4009587,939518227314631700,116467242,4953046878332448000,19571982,22138890900,176510543930,1171199368481654000,67658900778,4827759350187626000,BENIGN,1186982353576,1285795951087322000,862100714346,4816002790622649000
Clase A,Clase B,Privada,Pública,7681450575650,-6869605610861007000,96940693672,13512251234038,3030026,4111596198739956000,357286273,5048412970428926000,40518463,20053187952,429277170175,6655002656317944000,147308431128,3426100492751109000,BENIGN,5345111306357,5487003913248072000,3774932464297,-6450243417006023000
Clase A,Clase C,Privada,Privada,22733820386259,-3182723833288211000,3539635017678,46642431859261,17547292,9007153146516975000,811460506,-8144223737116855000,115435457,91891223193,785929489753,2354215877808608000,215208487184,-9129219470533689000,BENIGN,20257222687912,7755015067734384000,15160482195940,-2729725613463474000
Clase A,Clase C,Privada,Pública,2590679300710,-1228803109578124000,16766858764,5095903481808,1290552,1403227813093591000,162157375,9127019800522753000,13661054,8726550272,133150998492,2495910603588807000,37235910207,8387701733879418000,BENIGN,1651132764306,1879564378578507000,1138159049981,-7103682111650122000
